"film_id","title","total_fees"
1,"Academy Dinosaur","34"
2,"Ace Goldfinger","53"
3,"Adaptation Holes","35"
4,"Affair Prejudice","84"
5,"African Egg","48"
6,"Agent Truman","112"
7,"Airplane Sierra","83"
8,"Airport Pollock","87"
9,"Alabama Devil","72"
10,"Aladdin Calendar","132"
11,"Alamo Videotape","31"
12,"Alaska Phantom","38"
13,"Ali Forever","55"
15,"Alien Center","85"
16,"Alley Evolution","47"
17,"Alone Trip","62"
18,"Alter Victory","31"
19,"Amadeus Holy","33"
20,"Amelie Hellfighters","68"
21,"American Circus","147"
22,"Amistad Midsummer","71"
23,"Anaconda Confessions","52"
24,"Analyze Hoosiers","56"
25,"Angels Life","104"
26,"Annie Identity","51"
27,"Anonymous Human","18"
28,"Anthem Luke","64"
29,"Antitrust Tomatoes","28"
30,"Anything Savannah","44"
31,"Apache Divine","161"
32,"Apocalypse Flamingos","25"
34,"Arabia Dogma","22"
35,"Arachnophobia Rollercoaster","110"
37,"Arizona Bang","105"
39,"Armageddon Lost","42"
40,"Army Flintstones","37"
42,"Artist Coldblooded","60"
43,"Atlantis Cause","76"
44,"Attacks Hate","102"
45,"Attraction Newton","134"
46,"Autumn Crow","75"
47,"Baby Hall","41"
48,"Backlash Undefeated","141"
49,"Badman Dawn","77"
50,"Baked Cleopatra","77"
51,"Balloon Homeward","92"
52,"Ballroom Mockingbird","10"
53,"Bang Kwai","23"
54,"Banger Pinocchio","41"
55,"Barbarella Streetcar","85"
56,"Barefoot Manchurian","60"
57,"Basic Easy","88"
58,"Beach Heartbreakers","56"
59,"Bear Graceland","94"
60,"Beast Hunchback","70"
61,"Beauty Grease","126"
62,"Bed Highball","25"
63,"Bedazzled Married","15"
64,"Beethoven Exorcist","17"
65,"Behavior Runaway","88"
66,"Beneath Rush","17"
67,"Berets Agent","73"
68,"Betrayed Rear","80"
69,"Beverly Outlaw","116"
70,"Bikini Borrowers","80"
71,"Bilko Anonymous","95"
72,"Bill Others","64"
73,"Bingo Talented","120"
74,"Birch Antitrust","75"
75,"Bird Independence","54"
76,"Birdcage Casper","24"
77,"Birds Perdition","103"
78,"Blackout Private","79"
79,"Blade Polish","30"
80,"Blanket Beverly","34"
81,"Blindness Gun","72"
82,"Blood Argonauts","31"
83,"Blues Instinct","76"
84,"Boiled Dares","67"
85,"Bonnie Holocaust","32"
86,"Boogie Amelie","141"
88,"Born Spinal","60"
89,"Borrowers Bedazzled","26"
90,"Boulevard Mob","57"
91,"Bound Cheaper","51"
92,"Bowfinger Gables","57"
93,"Brannigan Sunrise","57"
94,"Braveheart Human","17"
95,"Breakfast Goldfinger","105"
96,"Breaking Home","42"
97,"Bride Intrigue","21"
98,"Bright Encounters","88"
99,"Bringing Hysterical","69"
100,"Brooklyn Desert","107"
101,"Brotherhood Blanket","99"
102,"Bubble Grosse","36"
103,"Bucket Brotherhood","151"
104,"Bugsy Song","46"
105,"Bull Shawshank","22"
106,"Bulworth Commandments","33"
107,"Bunch Minds","26"
109,"Butterfly Chocolat","109"
110,"Cabin Flash","40"
111,"Caddyshack Jedi","47"
112,"Calendar Gunfight","124"
113,"California Birds","74"
114,"Camelot Vacation","94"
115,"Campus Remember","82"
116,"Candidate Perdition","89"
117,"Candles Grapes","112"
118,"Canyon Stock","28"
119,"Caper Motions","38"
120,"Caribbean Liberty","67"
121,"Carol Texas","80"
122,"Carrie Bunch","35"
123,"Casablanca Super","83"
124,"Casper Dragonfly","46"
125,"Cassidy Wyoming","24"
126,"Casualties Encino","62"
127,"Cat Coneheads","160"
129,"Cause Date","115"
130,"Celebrity Horn","29"
131,"Center Dinosaur","122"
132,"Chainsaw Uptown","32"
133,"Chamber Italian","66"
